"id","source","target","length"
"1","M4-24","101","48750"
"2","M4-22","102","48750"
"3","M4-21","103","48750"
"4","M4-19","104","48750"
"5","M4-17","105","48750"
"6","P1-27","106","75520"
"7","P1-25","107","75520"
"8","P1-23","108","75520"
"9","P1-21","109","75520"
"10","P1-20","110","75520"
"11","P1-17","111","75130"
"12","Q1-20","112","55420"
"13","Q1-22","113","55420"
"14","Q1-24","114","55420"
"15","P7-22","115","49580"
"16","P7-25","116","67000"
"17","P7-27","117","67000"
"18","P7-28","118","67000"
"19","P7-30","119","67000"
"20","P7-32","120","67000"
"21","P7-34","121","67000"
"22","P8-36","122","57510"
"23","P8-33","123","50050"
"24","P8-31","124","50050"
"25","P8-29","125","50050"
"26","P8-28","126","50050"
"27","P8-26","127","50050"
"28","P8-23","128","50210"
"29","Q2-18","132","54910"
"30","Q2-20","133","54910"
"31","Q2-22","134","54910"
"32","P14-18","135","58560"
"33","P14-21","136","60500"
"34","P14-22","137","60500"
"35","P14-23","138","60500"
"36","P14-25","139","60500"
"37","P14-27","140","60500"
"38","X1-34","141","57510"
"39","X1-32","142","57510"
"40","X1-30","143","57510"
"41","X1-28","144","57510"
"42","X1-27","145","57510"
"43","X1-24","146","57510"
"44","X1-22","147","57510"
"45","X1-21","148","57510"
"46","N4-21","201","55750"
"47","N4-19","202","55750"
"48","N4-17","203","55750"
"49","N4-15","204","55750"
"50","P1-3","205","75520"
"51","P1-5","206","75520"
"52","P1-7","207","75520"
"53","P1-9","208","75520"
"54","P1-10","209","75520"
"55","P1-13","210","74890"
"56","Q1-3","211","54830"
"57","Q1-5","212","54830"
"58","Q1-7","213","54830"
"59","P7-14","214","49580"
"60","P7-11","215","67000"
"61","P7-9","216","67000"
"62","P7-8","217","67000"
"63","P7-6","218","67000"
"64","P7-4","219","67000"
"65","P7-2","220","67090"
"66","P8-2","221","57520"
"67","P8-5","222","50050"
"68","P8-7","223","50050"
"69","P8-9","224","50050"
"70","P8-10","225","50050"
"71","P8-12","226","50050"
"72","P8-15","227","50100"
"73","Q2-2","231","54540"
"74","Q2-4","232","54540"
"75","Q2-6","233","54540"
"76","P14-12","234","58460"
"77","P14-9","235","60500"
"78","P14-8","236","60501.82559"
"79","P14-7","237","60500"
"80","P14-5","238","60500"
"81","P14-3","239","60500"
"82","X1-2","240","57520"
"83","X1-4","241","57520"
"84","X1-6","242","57520"
"85","X1-8","243","57520"
"86","X1-9","244","57520"
"87","X1-12","245","57520"
"88","X1-14","246","57520"
"89","X1-15","247","57520"
"90","M3-15","301","50500"
"91","M3-16","302","50500"
"92","M3-17","303","50500"
"93","M3-18","304","50500"
"94","M2-38","305","58000"
"95","M2-37","306","50500"
"96","M2-35","307","50500"
"97","M2-34","308","50500"
"98","M2-7","309","65000"
"99","M2-6","310","58000"
"100","M2-5","311","58000"
"101","M2-3","312","58000"
"102","M2-2","313","58000"
"103","M1-19","314","65000"
"104","M1-20","315","58000"
"105","M1-21","316","58000"
"106","M1-23","317","58000"
"107","M1-24","318","58000"
"108","X6-17","351","55500"
"109","X6-18","352","50500"
"110","X6-20","353","50500"
"111","X6-22","354","50500"
"112","X6-24","355","50250"
"113","X6-26","356","50250"
"114","X6-28","357","50250"
"115","X7-17","358","54510"
"116","X7-18","359","50500"
"117","X7-20","360","50500"
"118","X7-22","361","50500"
"119","X7-24","362","50500"
"120","X7-26","363","50500"
"121","X7-28","364","50500"
"122","W3-14","365","55500"
"123","W3-15","366","50500"
"124","W3-16","367","50500"
"125","W3-18","368","50500"
"126","W3-20","369","50250"
"127","W3-22","370","50250"
"128","W3-23","371","50250"
"129","W4-14","374","50490"
"130","W4-16","375","50490"
"131","W4-18","376","50500"
"132","W4-20","377","50500"
"133","W4-21","378","50500"
"134","W9-13","379","55000"
"135","W9-14","380","50500"
"136","W9-16","381","50500"
"137","W9-18","382","50500"
"138","W9-19","383","50500"
"139","W9-21","384","50500"
"140","W9-22","385","50500"
"141","N3-16","401","51500"
"142","N3-17","402","51500"
"143","N3-18","403","51500"
"144","N3-19","404","51500"
"145","N2-37","405","58000"
"146","N2-36","406","50500"
"147","N2-34","407","50500"
"148","N2-33","408","50500"
"149","N2-7","409","65000"
"150","N2-6","410","58000"
"151","N2-5","411","58000"
"152","N2-3","412","58000"
"153","N2-2","413","58000"
"154","N1-19","414","64040"
"155","N1-20","415","64040"
"156","N1-21","416","57000"
"157","N1-23","417","57000"
"158","N1-24","418","57000"
"159","X6-14","451","55500"
"160","X6-13","452","50500"
"161","X6-11","453","50500"
"162","X6-9","454","50500"
"163","X6-7","455","50250"
"164","X6-5","456","50250"
"165","X6-3","457","50250"
"166","X7-14","458","54500"
"167","X7-13","459","50500"
"168","X7-11","460","50500"
"169","X7-9","461","50500"
"170","X7-7","462","50500"
"171","X7-5","463","50500"
"172","X7-3","464","50510"
"173","W3-11","465","55500"
"174","W3-10","466","50500"
"175","W3-9","467","50500"
"176","W3-7","468","50500"
"177","W3-5","469","50250"
"178","W3-3","470","50250"
"179","W3-2","471","50250"
"180","W4-11","472","54510"
"181","W4-10","473","50510"
"182","W4-9","474","50510"
"183","W4-7","475","50510"
"184","W4-5","476","50500"
"185","W4-3","477","50500"
"186","W4-2","478","50500"
"187","W9-10","479","55000"
"188","W9-9","480","50500"
"189","W9-7","481","50500"
"190","W9-5","482","50500"
"191","W9-1","483","208701.9406"
"192","W9-3","484","50500"
"193","W9-2","485","50500"
"194","P1-21","109-1","75520"
"195","P1-21","109-2","75520"
"196","P1-20","110-1","75520"
"197","P1-20","110-2","75520"
"198","P1-17","111-1","75130"
"199","P1-17","111-2","75130"
"200","Q1-20","112-1","55420"
"201","Q1-20","112-2","55420"
"202","Q1-22","113-1","55420"
"203","Q1-22","113-2","55420"
"204","Q2-18","132-1","54910"
"205","Q2-18","132-2","54910"
"206","Q2-20","133-1","54910"
"207","Q2-20","133-2","54910"
"208","Q2-22","134-1","54910"
"209","Q2-22","134-2","54910"
"210","P14-18","135-1","58560"
"211","P14-18","135-2","58560"
"212","Q1-3","211-1","54830"
"213","Q1-3","211-2","54830"
"214","Q1-5","212-1","54830"
"215","Q1-5","212-2","54830"
"216","F-6","E-5","80000"
"217","X3-11","E-5","80000"
"218","F-10","E-9","80000"
"219","X3-17","E-9","80000"
"220","X4-14","F-10","80000"
"221","E-9","F-10","80000"
"222","X6-30","F-14","224000"
"223","X6-1","F-2","224000"
"224","X4-10","F-6","80000"
"225","E-5","F-6","80000"
"226","N2-4","GSE-1","10500"
"227","N1-22","GSE-1","10500"
"228","X7-10","GSE-10","16500"
"229","X6-10","GSE-10","16500"
"230","X7-21","GSE-11","16500"
"231","X6-21","GSE-11","16500"
"232","X7-25","GSE-12","16500"
"233","X6-25","GSE-12","16500"
"234","W4-4","GSE-13","16500"
"235","W3-4","GSE-13","16500"
"236","W4-8","GSE-14","16500"
"237","W3-8","GSE-14","16500"
"238","W4-15","GSE-15","16500"
"239","W3-17","GSE-15","16500"
"240","W4-19","GSE-16","16500"
"241","W3-21","GSE-16","16500"
"242","W9-1","GSE-17","202272.712"
"243","W9-8","GSE-18","10500"
"244","W9-15","GSE-19","10500"
"245","M2-4","GSE-2","10500"
"246","M1-22","GSE-2","10500"
"247","W9-20","GSE-20","10500"
"248","N3-4","GSE-3","10500"
"249","N2-35","GSE-3","10500"
"250","M3-4","GSE-4","10500"
"251","M2-36","GSE-4","10500"
"252","P1-16","GSE-5","63500"
"253","Q1-18","GSE-5","27710"
"254","Q1-9","GSE-6","27410"
"255","P7-16","GSE-6","55500"
"256","Q2-17","GSE-7","27960"
"257","P8-21","GSE-7","63500"
"258","P14-14","GSE-8","55500"
"259","Q2-8","GSE-8","27662.61014"
"260","X7-6","GSE-9","16500"
"261","X6-6","GSE-9","16500"
"262","M1-9","M1-1","48030.66104"
"263","M1-2","M1-1","302590"
"264","M1-25","M1-10","97578.84453"
"265","M1-11","M1-10","35110"
"266","M1-9","M1-10","48029.17967"
"267","M1-12","M1-11","59500"
"268","M1-10","M1-11","35110"
"269","M1-13","M1-12","59500"
"270","M1-11","M1-12","59500"
"271","M1-14","M1-13","59500"
"272","M1-12","M1-13","59500"
"273","M1-15","M1-14","48210"
"274","M1-13","M1-14","59500"
"275","M1-16","M1-15","55000"
"276","M1-14","M1-15","48210"
"277","M1-17","M1-16","32500"
"278","M1-15","M1-16","55000"
"279","M1-3","M1-16","47500"
"280","M1-18","M1-17","64000"
"281","M1-16","M1-17","32500"
"282","M1-19","M1-18","55000"
"283","M2-8","M1-18","21000"
"284","M1-17","M1-18","64000"
"285","M1-20","M1-19","48210"
"286","314","M1-19","65000"
"287","M1-18","M1-19","55000"
"288","M1-1","M1-2","302590"
"289","M1-3","M1-2","47500"
"290","M1-21","M1-20","59500"
"291","315","M1-20","58000"
"292","M1-19","M1-20","48210"
"293","M1-22","M1-21","11650"
"294","316","M1-21","58000"
"295","M1-20","M1-21","59500"
"296","GSE-2","M1-22","10500"
"297","M1-23","M1-22","47850"
"298","M1-21","M1-22","11650"
"299","M1-24","M1-23","59500"
"300","317","M1-23","58000"
"301","M1-22","M1-23","47850"
"302","M1-25","M1-24","49580"
"303","318","M1-24","58000"
"304","M1-23","M1-24","59500"
"305","M2-1","M1-25","21233.45474"
"306","M1-24","M1-25","49580"
"307","M1-10","M1-25","97578.84453"
"308","M1-16","M1-3","47500"
"309","M1-2","M1-3","47500"
"310","M1-10","M1-9","48029.17967"
"311","M1-1","M1-9","48030.66104"
"312","M2-2","M2-1","49430"
"313","M2-15","M2-1","97577.36213"
"314","M1-25","M2-1","21233.45474"
"315","M2-11","M2-10","51500"
"316","M2-9","M2-10","55000"
"317","M2-12","M2-11","59500"
"318","M2-10","M2-11","51500"
"319","M2-13","M2-12","59500"
"320","M2-11","M2-12","59500"
"321","M2-14","M2-13","59500"
"322","M2-12","M2-13","59500"
"323","M2-15","M2-14","63890"
"324","M2-13","M2-14","59500"
"325","M2-16","M2-15","27726.31422"
"326","M2-14","M2-15","63890"
"327","M2-1","M2-15","97577.36213"
"328","M2-15","M2-16","27726.31422"
"329","M2-17","M2-16","20080"
"330","M2-16","M2-17","20080"
"331","M2-32","M2-17","47500"
"332","M2-3","M2-2","59500"
"333","313","M2-2","58000"
"334","M2-1","M2-2","49430"
"335","M2-39","M2-27","96500"
"336","M2-28","M2-27","66290"
"337","M2-9","M2-27","95000"
"338","M2-27","M2-28","66290"
"339","M2-29","M2-28","75220"
"340","M2-28","M2-29","75220"
"341","M2-30","M2-29","72120"
"342","M2-4","M2-3","51140"
"343","312","M2-3","58000"
"344","M2-2","M2-3","59500"
"345","M2-29","M2-30","72120"
"346","M2-31","M2-30","72500"
"347","M2-30","M2-31","72500"
"348","M2-32","M2-31","66870"
"349","M2-17","M2-32","47500"
"350","M2-31","M2-32","66870"
"351","M2-33","M2-32","96500"
"352","M3-1","M2-33","21000"
"353","M2-34","M2-33","66870"
"354","M2-32","M2-33","96500"
"355","M2-33","M2-34","66870"
"356","308","M2-34","50500"
"357","M2-35","M2-34","72500"
"358","M2-34","M2-35","72500"
"359","307","M2-35","50500"
"360","M2-36","M2-35","39270"
"361","GSE-4","M2-36","10500"
"362","M2-35","M2-36","39270"
"363","M2-37","M2-36","32850"
"364","M2-36","M2-37","32850"
"365","306","M2-37","50500"
"366","M2-38","M2-37","75220"
"367","M2-37","M2-38","75220"
"368","305","M2-38","58000"
"369","M2-39","M2-38","66290"
"370","M2-38","M2-39","66290"
"371","M3-7","M2-39","21000"
"372","M2-27","M2-39","96500"
"373","M2-5","M2-4","8360"
"374","GSE-2","M2-4","10500"
"375","M2-3","M2-4","51140"
"376","M2-6","M2-5","59500"
"377","311","M2-5","58000"
"378","M2-4","M2-5","8360"
"379","M2-7","M2-6","51500"
"380","310","M2-6","58000"
"381","M2-5","M2-6","59500"
"382","M2-8","M2-7","55000"
"383","309","M2-7","65000"
"384","M2-6","M2-7","51500"
"385","M2-9","M2-8","96500"
"386","M2-7","M2-8","55000"
"387","M1-18","M2-8","21000"
"388","M2-10","M2-9","55000"
