"id","node","x","y"
"1","Q2-12","109604060","8779730"
"2","Q2-11","109629940","8779730"
"3","Q2-14","109523050","8779730"
"4","Q2-13","109537550","8779730"
"5","Q2-10","109673560","8779730"
"6","Un19","109684940","8727730"
"7","Re21","109673560","8832480"
"8","Re25","109338240","8727730"
"9","Re19","109338240","8832480"
"10","Q2-15","109453550","8779730"
"11","Re10","109789690","8228980"
"12","Re5","109789690","9331980"
"13","Re20","109453550","8832480"
"14","Re24","109453550","8727730"
"15","Re23","109537550","8727730"
"16","Un16","109523050","8832480"
"17","Un20","109629940","8727730"
"18","Un17","109604060","8832480"
"19","Un7","109789690","8410010"
"20","Z3-2","110801940","8820480"
"21","Z2-8","110400940","8209480"
"22","Un8","109789690","8313980"
"23","Z3-3","110801940","8780480"
"24","Z2-3","110400940","8820480"
"25","Z2-4","110400940","8780480"
"26","Z3-4","110801940","8740480"
"27","Z2-2","110400940","8874730"
"28","GSE-14","110801940","9111480"
"29","GSE-11","110400940","8449480"
"30","GSE-13","110801940","9233730"
"31","GSE-9","110400940","9233730"
"32","GSE-10","110400940","9111480"
"33","Z2-7","110400940","8521980"
"34","Re9","109789690","8495010"
"35","Z2-5","110400940","8740480"
"36","Z2-6","110400940","8686230"
"37","Re8","109789690","8599490"
"38","Un6","109789690","9150950"
"39","Un5","109789690","9246980"
"40","Re7","109789690","8961460"
"41","Re6","109789690","9065950"
"42","X2-13","109952940","8780480"
"43","Re13","108617230","8485750"
"44","Re2","108616570","9073280"
"45","Re14","108617240","8224450"
"46","Un2","108616570","9158280"
"47","Un1","108616570","9251500"
"48","Re1","108616570","9336500"
"49","Z2-1","110400940","9038980"
"50","X1-18","109849440","8780480"
"51","X9-11","110561440","8780480"
"52","W1-11","110641440","8780480"
"53","Z1-3","109219420","9266980"
"54","P1-2","108677440","9378980"
"55","Re3","109219240","9200980"
"56","Q1-15","108800050","8780480"
"57","Un4","109219340","9017980"
"58","Un3","109219280","9115980"
"59","Q1-14","108876740","8780480"
"60","Un21","109120050","8727980"
"61","Un15","109120050","8832980"
"62","Q1-13","108946240","8780480"
"63","Q1-12","109050550","8780480"
"64","Re4","109219380","8932980"
"65","Re12","109219690","8356980"
"66","Un10","109219650","8441980"
"67","Re26","109219490","8725910"
"68","Re18","109219440","8833460"
"69","Un9","109219600","8539980"
"70","Re11","109219550","8624980"
"71","Re29","108730550","8727980"
"72","Un23","108800050","8727980"
"73","Re15","108730550","8832980"
"74","Un11","108617230","8400750"
"75","Q1-16","108730550","8780480"
"76","Un12","108617240","8309450"
"77","Un13","108800050","8832980"
"78","Re27","109050550","8727980"
"79","Re16","108946240","8832980"
"80","Re17","109050550","8832980"
"81","Un22","108876740","8727980"
"82","Re28","108946240","8727980"
"83","Un14","108876740","8832980"
"84","Q1-11","109120050","8780480"
"85","P8-8","109279390","9200980"
"86","Q1-26","109120050","8675480"
"87","P8-11","109279390","9115980"
"88","P8-18","109279390","8833460"
"89","P8-19","109279390","8725910"
"90","P8-14","109279390","9017980"
"91","P8-16","109279390","8932980"
"92","Q1-25","109050550","8675480"
"93","P1-22","108677440","8400750"
"94","P1-24","108677440","8309450"
"95","P1-26","108677440","8224450"
"96","Q1-21","108876740","8675480"
"97","Q1-23","108946240","8675480"
"98","Q1-17","108730550","8675480"
"99","Q1-19","108800050","8675480"
"100","Q2-9","109684940","8779730"
"101","Q2-16","109338240","8779730"
"102","P8-27","109279390","8441980"
"103","P8-30","109279390","8356980"
"104","P8-22","109279390","8624980"
"105","P8-24","109279390","8539980"
"106","Q2-19","109453550","8675730"
"107","X7-17","110417440","8652480"
"108","W3-14","110785440","8652480"
"109","X7-20","110417440","8513980"
"110","X7-18","110417440","8586480"
"111","W3-15","110785440","8586480"
"112","W3-20","110785440","8355780"
"113","W3-22","110785440","8279880"
"114","W3-16","110785440","8513980"
"115","W3-18","110785440","8441480"
"116","X7-22","110417440","8441480"
"117","X6-22","110384440","8441480"
"118","X6-24","110384440","8355780"
"119","X6-18","110384440","8586480"
"120","X6-20","110384440","8513980"
"121","X6-26","110384440","8279880"
"122","X7-26","110417440","8279880"
"123","X7-24","110417440","8355780"
"124","X6-28","110384440","8203980"
"125","X7-28","110417440","8203980"
"126","W9-22","111186440","8203580"
"127","P1-6","108677440","9251500"
"128","W9-19","111186440","8348580"
"129","W9-21","111186440","8276080"
"130","P1-11","108677440","9073280"
"131","P1-19","108677440","8485750"
"132","P1-4","108677440","9336500"
"133","P1-8","108677440","9158280"
"134","W9-18","111186440","8421080"
"135","W4-20","110818440","8279880"
"136","W4-18","110818440","8355780"
"137","W3-23","110785440","8203980"
"138","W4-21","110818440","8203980"
"139","W4-16","110818440","8441480"
"140","W9-14","111186440","8583580"
"141","W9-16","111186440","8511080"
"142","W4-14","110818440","8513980"
"143","W9-13","111186440","8649480"
"144","X1-3","109849440","9331980"
"145","P7-3","109159440","9338480"
