"id","source","target","length"
"1","M1-3","M1-4","55000"
"2","M1-4","M1-5","48210"
"3","M1-5","M1-6","59500"
"4","M1-6","M1-7","59500"
"5","M1-7","M1-8","59500"
"6","M1-8","M1-9","28000"
"7","M1-9","C-1","53080"
"8","M1-4","M1-3","55000"
"9","M1-5","M1-4","48210"
"10","M1-6","M1-5","59500"
"11","M1-7","M1-6","59500"
"12","M1-8","M1-7","59500"
"13","M1-9","M1-8","28000"
"14","C-1","M1-9","53080"
"15","D-1","C-1","80900"
"16","305","M2-28","38500"
"17","306","M2-29","46000"
"18","307","M2-30","46000"
"19","308","M2-31","46000"
"20","309","M2-10","31500"
"21","310","M2-11","38500"
"22","311","M2-12","38500"
"23","312","M2-13","38500"
"24","313","M2-14","38500"
"25","314","M1-15","31500"
"26","315","M1-14","38500"
"27","316","M1-13","38500"
"28","317","M1-12","38500"
"29","318","M1-11","38500"
"30","M2-28","M2-24","47500"
"31","M2-29","M2-22","47500"
"32","M2-30","M2-20","47500"
"33","M2-31","M2-18","47500"
"34","M2-10","M2-25","47500"
"35","M2-11","M2-23","47500"
"36","M2-12","M2-21","47500"
"37","M2-13","M2-19","47500"
"38","M2-14","M2-18","47513.4391514653"
"39","M1-15","M1-4","47500"
"40","M1-14","M1-5","47500"
"41","M1-13","M1-6","47500"
"42","M1-12","M1-7","47500"
"43","M1-11","M1-8","47500"
"44","M2-28","305","38500"
"45","M2-29","306","46000"
"46","M2-30","307","46000"
"47","M2-31","308","46000"
"48","M2-10","309","31500"
"49","M2-11","310","38500"
"50","M2-12","311","38500"
"51","M2-13","312","38500"
"52","M2-14","313","38500"
"53","M1-15","314","31500"
"54","M1-14","315","38500"
"55","M1-13","316","38500"
"56","M1-12","317","38500"
"57","M1-11","318","38500"
"58","M2-24","M2-28","47500"
"59","M2-22","M2-29","47500"
"60","M2-20","M2-30","47500"
"61","M2-18","M2-31","47500"
"62","M2-25","M2-10","47500"
"63","M2-23","M2-11","47500"
"64","M2-21","M2-12","47500"
"65","M2-19","M2-13","47500"
"66","M2-18","M2-14","47513.4391514653"
"67","M1-4","M1-15","47500"
"68","M1-5","M1-14","47500"
"69","M1-6","M1-13","47500"
"70","M1-7","M1-12","47500"
"71","M1-8","M1-11","47500"
"72","M2-26","M2-25","47500"
"73","M2-25","M2-24","11290"
"74","M2-24","M2-23","40210"
"75","M2-23","M2-22","35010.0000000009"
"76","M2-22","M2-21","24489.9999999991"
"77","M2-21","M2-20","47630"
"78","M2-20","M2-19","11870"
"79","M2-19","M2-18","60630"
"80","M2-18","M2-17","66870"
"81","M2-17","C-3","55500"
"82","M2-25","M2-26","47500"
"83","M2-24","M2-25","11290"
"84","M2-23","M2-24","40210"
"85","M2-22","M2-23","35010.0000000009"
"86","M2-21","M2-22","24489.9999999991"
"87","M2-20","M2-21","47630"
"88","M2-19","M2-20","11870"
"89","M2-18","M2-19","60630"
"90","M2-17","M2-18","66870"
"91","C-3","M2-17","55500"
"92","M3-13","M3-12","78500"
"93","M3-12","M3-11","75000"
"94","M3-11","M3-10","75000"
"95","M3-10","M3-9","75000"
"96","M3-9","M3-8","42000"
"97","M3-8","C-5","55500"
"98","M3-28","M3-24","47500"
"99","M3-29","M3-23","47500"
"100","M3-30","M3-22","47500"
"101","M3-31","M3-21","47500"
"102","M3-24","301","46000"
"103","M3-23","302","46000"
"104","M3-22","303","46000"
"105","M3-21","304","46000"
"106","301","M3-15","50500"
"107","302","M3-16","50500"
"108","303","M3-17","50500"
"109","304","M3-18","50500"
"110","M3-15","M3-12","45000"
"111","M3-16","M3-11","45000"
"112","M3-17","M3-10","45000"
"113","M3-18","M3-9","45000"
"114","D-5","C-7","80000"
"115","C-7","M3-32","55500"
"116","M3-32","M3-31","42000"
"117","M3-31","M3-30","75000"
"118","M3-30","M3-29","75000"
"119","M3-29","M3-28","75000"
"120","M3-28","M3-27","19940"
"121","M3-27","M3-26","58560"
"122","101","M4-9","38000"
"123","102","M4-10","38000"
"124","103","M4-11","38000"
"125","104","M4-12","38000"
"126","105","M4-13","38000"
"127","M4-9","M4-6","47500"
"128","M4-10","M4-5","47500"
"129","M4-11","M4-4","47500"
"130","M4-12","M4-3","47500"
"131","M4-13","M4-2","47500"
"132","M4-9","101","38000"
"133","M4-10","102","38000"
"134","M4-11","103","38000"
"135","M4-12","104","38000"
