"aircraft_type","aircraft_id","landing_time","landing_point","parking_point","departure_point1","departure_point2","departure_order","destination","unload_dock","flight_id","cd_num"
"B747","INF6","-46200","R-5","135-2","R-13","R-1","2","iICN","U19","186","0"
"B747","INF2","-42600","R-5","133-2","R-13","R-1","1","iANC","U20","80-1","0"
"B767","181","-42480","R-5","110-2","R-13","R-1","1","LAX","U21","92","0"
"B777","182","-42180","R-5","111-2","R-13","R-1","2","LAX","U21","93","0"
"B777","183","-41880","R-5","112-2","R-13","R-1","3","LAX","U21","94","0"
"B777","184","-41580","R-5","113-2","R-13","R-1","4","LAX","U21","95","0"
"B777","185","-41280","R-5","132-2","R-13","R-1","5","LAX","U20","96","0"
"B767","INF4","-37800","R-5","134-2","R-13","R-1","1","iNRT","U19","108","0"
"B777","176","-33240","R-5","109-2","R-13","R-1","1","JFK","U21","83","0"
"B777","194","-32940","L-4","211-2","L-10","L-1","1","RIO","U15","144","0"
"B777","195","-32640","L-4","212-2","L-10","L-1","1","SCL","U15","145-2","0"
"B767","186","960","L-4","458","L-10","L-1","1","LGG","U18R","97","0"
"B777","187","1260","L-4","476","L-10","L-1","2","LGG","U18R","98","0"
"B777","188","1560","L-4","453","L-10","L-1","3","LGG","U18R","99","0"
"B777","189","1860","L-4","477","L-10","L-1","4","LGG","U18R","100","0"
"B757","170","2760","L-5","465","L-10","L-1","1","HAN","U18R","47","0"
"B767","167","2880","L-4","410","L-10","L-1","1","DXB","U15","39","0"
"B767","160","3000","L-4","418","L-10","L-1","1","AMS","U15","1","0"
"B767","191","3180","R-5","315","R-13","R-1","1","OSA","U21","112","0"
"B777","161","3300","L-4","469","L-10","L-1","2","AMS","U18R","2","0"
"B777","201","3480","R-5","362","R-13","R-1","1","TYO","U18R","203","0"
"B777","162","3600","L-4","474","L-10","L-1","3","AMS","U18R","3","0"
"B757","165","3780","L-5","413","L-10","L-1","1","DEL","U15","35","0"
"B777","163","3900","L-4","470","L-10","L-1","4","AMS","U18R","4","0"
"B767","178","4020","L-4","417","L-10","L-1","1","JNB","U15","85","0"
"B777","179","4320","L-4","473","L-10","L-1","2","JNB","U18R","86","0"
"B733","193","4440","L-5","415","L-10","L-1","1","RGN","U15","143","0"
"B777","168","4560","L-4","471","L-10","L-1","2","DXB","U18R","40","0"
"B767","198","4800","R-5","312","R-13","R-1","1","SYD","U21","157","0"
"B777","175","5100","R-5","367","R-13","R-1","4","ICN","U18R","80-2","0"
"B777","174","5400","R-5","371","R-13","R-1","3","ICN","U18R","79","0"
"B777","202","5700","R-5","368","R-13","R-1","2","TYO","U18R","204","0"
"B777","169","6000","L-4","475","L-10","L-1","3","DXB","U18R","41","0"
"B777","192","6060","R-5","308","R-13","R-1","2","OSA","U21","113","0"
"B767","136","6120","R-5","116","R-13","R-1","1","HDG","U9L","387","0"
"B777","101","6180","L-4","206","L-10","L-1","4","SZX","U1R","168","0"
"B777","74","6240","R-5","106","R-13","R-1","5","PVG","U12R","136","2"
"B767","131","6300","R-5","354","R-13","R-1","1","SJW","U7R","221","0"
"B777","172","6360","R-5","370","R-13","R-1","1","ICN","U18R","77","0"
"B747","INF11","6420","L-4","454","L-10","L-1","1","iCRK","U18R","137-1","0"
"B767","105","6480","R-5","102","R-13","R-1","8","WUX","U11L","386","0"
"B777","103","6540","L-4","457","R-13","R-1","2","TYN","U6R","167","0"
"B777","75","6600","R-5","112-1","R-13","R-1","6","PVG","U23","137-2","2"
"B777","58","6660","L-4","232","L-10","L-1","4","PEK","U4R","24","11"
"B777","8","6720","L-4","205","L-10","L-1","2","CAN","U1R","17","6"
"B767","139","6780","R-5","115","R-13","R-1","5","WUX","U22","383","0"
"B777","92","6840","L-4","408","L-10","L-1","1","CKG","U2L","173","0"
"B777","76","6900","R-5","303","R-13","R-1","8","PVG","U11L","138","2"
"B767","33","6960","R-5","351","R-13","R-1","3","HDG","U7R","49","0"
"B777","12","7020","L-4","402","L-10","L-1","1","CGO","U2L","14-1","6"
"B767","140","7080","R-5","118","R-13","R-1","4","WUX","U10L","392","0"
"B777","79","7140","L-4","452","R-13","R-1","1","SHE","U6R","163","0"
"B777","72","7200","R-5","114","R-13","R-1","1","PVG","U22","134","2"
"B777","63","7260","R-5","306","R-13","R-1","7","PVG","U11L","76","0"
"B777","14","7320","L-4","211-1","L-10","L-1","5","PEK","U13","15","6"
"B767","141","7380","R-5","107","R-13","R-1","3","WUX","U12R","391","0"
"B747","INF8","7440","L-4","462","L-10","L-1","1","iCGN","U18R","14-2","0"
"B767","119","7500","R-5","305","R-13","R-1","2","WEF","U11L","209","0"
"B747","INF7","7560","R-5","360","R-13","R-1","5","iICN","U18R","188","0"
"B777","94","7620","L-4","208","L-10","L-1","1","CTU","U2R","166-2","0"
"B757","166","7680","L-5","472","L-10","L-1","2","DEL","U18R","36","0"
"B777","59","7740","L-4","404","L-10","L-1","6","PEK","U2L","116","1"
"B767","177","7800","L-4","451","L-10","L-1","1","JKT","U18R","84","0"
"B777","152","7860","L-4","245","R-13","R-1","1","XMN","U6R","13","6"
"B777","199","7920","R-5","364","R-13","R-1","2","SYD","U18R","158","0"
"B767","142","7980","R-5","111-1","R-13","R-1","2","WUX","U23","384","0"
"B777","200","8040","L-4","467","L-10","L-1","1","TPE","U18R","195-2","0"
"B767","120","8100","R-5","127","R-13","R-1","1","WEF","U9R","211","0"
"B747","INF16","8160","R-5","361","R-13","R-1","3","iICN","U18R","New33","0"
"B777","90","8220","L-4","234","L-10","L-1","1","CAN","U6L","164","0"
"B767","196","8280","L-4","412","L-10","L-1","1","SGN","U15","146","0"
"B777","60","8340","L-4","231","L-10","L-1","1","PEK","U4R","117","1"
"B777","10","8400","L-4","201","L-10","L-1","4","CAN","U2L","16","6"
"B767","143","8460","R-5","117","R-13","R-1","1","WUX","U9L","388","0"
"B767","INF15","8520","R-5","316","R-13","R-1","4","iICN","U21","195-1","0"
"B767","122","8580","R-5","355","R-13","R-1","3","WNZ","U7R","212","0"
"B777","102","8640","L-4","407","L-10","L-1","5","SZX","U2L","162","0"
"B777","61","8700","L-4","459","L-10","L-1","7","PEK","U6R","118-2","1"
"B767","INF9","8760","R-5","359","R-13","R-1","2","iNRT","U18R","118-1","0"
"B777","11","8820","L-4","213","L-10","L-1","3","CAN","U14","18","6"
"B767","144","8880","R-5","101","R-13","R-1","6","WUX","U11L","385","0"
"B777","158","8940","L-4","204","L-10","L-1","1","ZUH","U1L","412","8"
"B767","190","9000","R-5","310","R-13","R-1","1","MNL","U21","107","0"
"B767","124","9060","R-5","356","L-10","L-1","1","YCU","U7R","213","0"
"B777","111","9120","L-4","401","L-10","L-1","2","TSN","U2L","198","11"
"B777","106","9180","L-4","455","R-13","R-1","2","XMN","U6R","165","0"
"B777","164","9240","L-4","468","L-10","L-1","1","BKK","U18R","9","0"
"B777","151","9300","L-4","464","L-10","L-1","1","XIY","U6R","401","0"
