"id","node","x","y"
"1","M1-3","107633440","8503980"
"2","M1-4","107633440","8448980"
"3","M1-5","107633440","8400770"
"4","M1-6","107633440","8341270"
"5","M1-7","107633440","8281770"
"6","M1-8","107633440","8222270"
"7","M1-9","107633440","8194270"
"8","C-1","107633440","8141190"
"9","D-1","107633440","8060290"
"10","305","108028440","8437690"
"11","306","108035940","8362470"
"12","307","108035940","8290350"
"13","308","108035940","8217850"
"14","309","107863440","8448980"
"15","310","107856440","8397480"
"16","311","107856440","8337980"
"17","312","107856440","8278480"
"18","313","107856440","8218980"
"19","314","107712440","8448980"
"20","315","107719440","8400770"
"21","316","107719440","8341270"
"22","317","107719440","8281770"
"23","318","107719440","8222270"
"24","M2-28","107989940","8437690"
"25","M2-29","107989940","8362470"
"26","M2-30","107989940","8290350"
"27","M2-31","107989940","8217850"
"28","M2-10","107894940","8448980"
"29","M2-11","107894940","8397480"
"30","M2-12","107894940","8337980"
"31","M2-13","107894940","8278480"
"32","M2-14","107894940","8218980"
"33","M1-15","107680940","8448980"
"34","M1-14","107680940","8400770"
"35","M1-13","107680940","8341270"
"36","M1-12","107680940","8281770"
"37","M1-11","107680940","8222270"
"38","M2-24","107942440","8437690"
"39","M2-22","107942440","8362470"
"40","M2-20","107942440","8290350"
"41","M2-18","107942440","8217850"
"42","M2-25","107942440","8448980"
"43","M2-23","107942440","8397480"
"44","M2-21","107942440","8337980"
"45","M2-19","107942440","8278480"
"46","M2-26","107942440","8496480"
"47","M2-17","107942440","8150980"
"48","C-3","107942440","8095480"
"49","M3-13","108152440","8496480"
"50","M3-12","108152440","8417980"
"51","M3-11","108152440","8342980"
"52","M3-10","108152440","8267980"
"53","M3-9","108152440","8192980"
"54","M3-8","108152440","8150980"
"55","M3-28","108341440","8417980"
"56","M3-29","108341440","8342980"
"57","M3-30","108341440","8267980"
"58","M3-31","108341440","8192980"
"59","M3-24","108293940","8417980"
"60","M3-23","108293940","8342980"
"61","M3-22","108293940","8267980"
"62","M3-21","108293940","8192980"
"63","301","108247940","8417980"
"64","302","108247940","8342980"
"65","303","108247940","8267980"
"66","304","108247940","8192980"
"67","M3-15","108197440","8417980"
"68","M3-16","108197440","8342980"
"69","M3-17","108197440","8267980"
"70","M3-18","108197440","8192980"
"71","D-5","108341440","8015480"
"72","C-7","108341440","8095480"
"73","M3-32","108341440","8150980"
"74","M3-27","108341440","8437920"
"75","101","108506940","8437920"
"76","102","108506940","8378190"
"77","103","108506940","8318690"
"78","104","108506940","8259190"
"79","105","108506940","8199690"
"80","M4-9","108468940","8437920"
"81","M4-10","108468940","8378190"
"82","M4-11","108468940","8318690"
"83","M4-12","108468940","8259190"
"84","M4-13","108468940","8199690"
"85","M4-6","108421440","8437920"
"86","M4-5","108421440","8378190"
"87","M4-4","108421440","8318690"
"88","M4-3","108421440","8259190"
"89","M4-2","108421440","8199690"
"90","M4-7","108421440","8496480"
"91","M4-1","108421440","8150980"
"92","C-8","108421440","8095480"
"93","D-6","108421440","8015480"
"94","418","107719440","9315240"
"95","417","107719440","9255740"
"96","416","107719440","9196240"
"97","415","107712400","9147740"
"98","414","107712400","9107240"
"99","413","107855440","9336480"
"100","412","107855440","9277130"
"101","411","107855440","9217480"
"102","410","107855440","9157980"
"103","409","107862440","9109480"
"104","408","108034940","9349980"
"105","407","108034940","9277480"
"106","406","108034940","9204980"
"107","405","108027440","9118480"
"108","N1-11","107679940","9315240"
"109","N1-12","107679940","9255740"
"110","N1-13","107679940","9196240"
"111","N1-14","107679940","9147740"
"112","N1-15","107679940","9107240"
"113","N2-14","107893940","9336480"
"114","N2-13","107893940","9277290"
"115","N2-12","107893940","9217480"
"116","N2-11","107893940","9157980"
"117","N2-10","107893940","9109480"
"118","N2-30","107988940","9349980"
"119","N2-29","107988940","9277480"
"120","N2-28","107988940","9204980"
"121","N2-27","107988940","9118480"
"122","N1-8","107633440","9315240"
"123","N1-7","107633440","9255740"
"124","N1-6","107633440","9196240"
"125","N1-5","107633440","9147730"
"126","N1-4","107633440","9107230"
"127","N2-18","107941440","9336480"
"128","N2-19","107941440","9277480"
"129","N2-20","107941440","9217480"
"130","N2-22","107941440","9157980"
"131","N2-24","107941440","9109480"
"132","N2-17","107941440","9349980"
"133","N2-21","107941440","9204980"
"134","N2-23","107941440","9118480"
"135","A-1","107633440","9470710"
"136","B-1","107633440","9389810"
"137","N1-9","107633440","9336730"
"138","N1-3","107633440","9056980"
"139","A-2","107941440","9516930"
"140","B-2","107941440","9436040"
"141","N2-16","107941440","9382950"
"142","N2-25","107941440","9064480"
"143","N3-14","108151440","9064480"
"144","N3-13","108151440","9142980"
"145","N3-12","108151440","9217980"
"146","N3-11","108151440","9292980"
"147","N3-10","108151440","9367980"
"148","N3-9","108151440","9409980"
"149","B-6","108331440","9465480"
"150","N3-33","108331440","9409980"
"151","N3-32","108331440","9367980"
"152","N3-31","108331440","9292980"
"153","N3-30","108331440","9217980"
"154","N3-29","108331440","9142980"
"155","N3-28","108331440","9121740"
"156","N3-22","108293940","9367980"
"157","N3-23","108293940","9292980"
"158","N3-24","108293940","9217980"
"159","N3-25","108293940","9142980"
"160","401","108247940","9142980"
"161","402","108247940","9217980"
"162","403","108247940","9292980"
"163","404","108247940","9367980"
"164","N3-16","108196440","9142980"
"165","N3-17","108196440","9217980"
"166","N3-18","108196440","9292980"
"167","N3-19","108196440","9367980"
"168","N4-5","108411440","9121740"
"169","B-8","108411440","9465480"
"170","N4-1","108411440","9409980"
"171","N4-2","108411440","9339240"
"172","N4-3","108411440","9266740"
"173","N4-4","108411440","9194240"
"174","N4-6","108411440","9064480"
"175","201","108499940","9121740"
"176","202","108499940","9194240"
"177","203","108499940","9266740"
"178","204","108499940","9339240"
"179","N4-8","108453940","9121740"
"180","N4-9","108453940","9194240"
"181","N4-10","108453940","9266740"
"182","N4-11","108453940","9339240"
"183","106","108752960","8192980"
"184","107","108752960","8265480"
"185","108","108752960","8337980"
