"id","aircraft_id","unload_dock","service_source","destination","location","type","tugs","atype","aircraft_dest","departure_order"
"101","144","Un11","GSE-5","Un11","contact","D","y","B767","WUX","6"
"102","105","Un11","GSE-5","Un11","contact","D","y","B767","WUX","8"
"103","112","Un11","GSE-5","Un11","contact","D","y","B757","TXN","1"
"104","130","Un11","GSE-5","Un11","contact","D","y","B767","WNZ","1"
"105","146","Un11","GSE-5","Un11","contact","D","y","B767","WUX","7"
"106","74","Un11","GSE-5","Un11","contact","E","y","B777","PVG","5"
"107","141","Un11","GSE-5","Un11","contact","E","y","B767","WUX","3"
"108","35","Un12","GSE-5","Un12","contact","E","y","B777","HFE","1"
"109-1","37","Un12","GSE-5","Un12","contact","E","y","B777","HGH","2"
"109-2","176","Un15","GSE-5","Un15","contact","E","y","B777","JFK","1"
"110-1","70","Un12","GSE-5","Un12","contact","E","y","B777","PVG","4"
"110-2","181","Un16","GSE-5","Un16","contact","E","y","B767","LAX","1"
"111-1","142","Un12","GSE-5","Un12","contact","D","y","B767","WUX","2"
"111-2","182","Un17","GSE-5","Un17","contact","D","y","B777","LAX","2"
"112-1","75","Un12","GSE-5","Un12","contact","E","y","B777","PVG","6"
"112-2","183","Un18","GSE-5","Un18","contact","E","y","B777","LAX","3"
"113-1","71","Un12","GSE-5","Un12","contact","E","y","B777","PVG","3"
"113-2","184","Un19","GSE-5","Un19","contact","E","y","B777","LAX","4"
"114","72","Un12","GSE-5","Un12","contact","E","y","B777","PVG","1"
"115","139","Un9","GSE-5","Un9","contact","D","y","B767","WUX","5"
"116","136","Un9","GSE-5","Un9","contact","D","y","B767","HDG","1"
"117","143","Un9","GSE-5","Un9","contact","D","y","B767","WUX","1"
"118","140","Un9","GSE-5","Un9","contact","D","y","B767","WUX","4"
"119","126","Un9","GSE-5","Un9","contact","D","y","B767","WEH","1"
"120","125","Un9","GSE-5","Un9","contact","D","y","B767","WEH","2"
"121","51","Un9","GSE-5","Un9","contact","D","y","B757","LYG","1"
"122","117","Un10","GSE-7","Un10","contact","E","y","B757","BAV","1"
"123","113","Un10","GSE-7","Un10","contact","D","y","B757","TYN","1"
"124","32","Un10","GSE-7","Un10","contact","D","y","B767","HDG","2"
"125","50","Un10","GSE-7","Un10","contact","D","y","B767","LYG","2"
"126","154","Un10","GSE-7","Un10","contact","D","y","B767","XUZ","1"
"127","120","Un10","GSE-7","Un10","contact","D","y","B767","WEF","1"
"128","1","Un10","GSE-7","Un10","contact","D","y","B733","BAV","2"
"132-1","17","Un23","GSE-7","Un23","contact","E","y","B777","CGQ","1"
"132-2","185","Un20","GSE-7","Un20","contact","E","y","B777","LAX","5"
"133-1","56","Un23","GSE-7","Un23","contact","E","y","B767","NNY","1"
"133-2","INF2","Un16","GSE-7","Un16","contact","E","y","B747","iANC","1"
"134-1","24","Un22","GSE-7","Un22","contact","E","y","B777","DLC","1"
"134-2","INF4","Un17","GSE-7","Un17","contact","E","y","B767","iNRT","1"
"135-1","34","Un7","GSE-7","Un7","contact","E","y","B777","HET","1"
"135-2","INF6","Un18","GSE-7","Un18","contact","E","y","B747","iICN","2"
"136","43","Un7","GSE-7","Un7","contact","E","y","B777","HRB","1"
"137","81","Un7","GSE-7","Un7","contact","E","y","B777","SHE","2"
"138","109","Un7","GSE-7","Un7","contact","E","y","B777","TNA","1"
"139","82","Un7","GSE-7","Un7","contact","E","y","B777","SJW","2"
"140","134","Un7","GSE-7","Un7","contact","E","y","B767","WNZ","2"
"141","98","Un7","GSE-7","Un7","contact","E","y","B777","SZX","2"
"142","84","Un8","GSE-7","Un8","contact","E","y","B757","SWA","1"
"143","40","Un8","GSE-7","Un8","contact","E","y","B777","KWE","1"
"144","99","Un8","GSE-7","Un8","contact","E","y","B777","SZX","3"
"145","19","Un8","GSE-7","Un8","contact","E","y","B777","CSX","1"
"146","9","Un8","GSE-7","Un8","contact","E","y","B777","CAN","6"
"147","68","Un8","GSE-7","Un8","contact","E","y","B777","PEK","2"
"148","5","Un8","GSE-7","Un8","contact","E","y","B757","LZH","2"
"201","10","Un1","GSE-6","Un1","contact","E","y","B777","CAN","4"
"202","46","Un1","GSE-6","Un1","contact","E","y","B777","KMG","1"
"203","157","Un1","GSE-6","Un1","contact","E","y","B777","ZUH","2"
"204","158","Un1","GSE-6","Un1","contact","E","y","B777","ZUH","1"
"205","8","Un1","GSE-6","Un1","contact","E","y","B777","CAN","2"
"206","101","Un1","GSE-6","Un1","contact","E","y","B777","SZX","4"
"207","97","Un2","GSE-6","Un2","contact","E","y","B777","SZX","1"
"208","94","Un2","GSE-6","Un2","contact","E","y","B777","CTU","1"
"209","66","Un2","GSE-6","Un2","contact","E","y","B777","PEK","3"
"210","52","Un2","GSE-6","Un2","contact","D","y","B733","LZH","1"
"211-1","14","Un2","GSE-6","Un2","contact","E","y","B777","PEK","5"
"211-2","194","Un21","GSE-6","Un21","contact","E","y","B777","RIO","1"
"212-1","54","Un2","GSE-6","Un2","contact","E","y","B733","BHY","1"
"212-2","195","Un15","GSE-6","Un15","contact","E","y","B777","SCL","1"
"213","11","Un2","GSE-6","Un2","contact","E","y","B777","CAN","3"
"214","86","Un4","GSE-6","Un4","contact","D","y","B757","SWA","2"
"215","85","Un4","GSE-6","Un4","contact","D","y","B757","SWA","3"
"216","31","Un4","GSE-6","Un4","contact","D","y","B757","HAK","1"
"217","87","Un4","GSE-6","Un4","contact","D","y","B733","SYM","1"
"218","47","Un4","GSE-6","Un4","contact","D","y","B733","KWE","2"
"219","49","Un4","GSE-6","Un4","contact","D","y","B767","LXA","1"
"220","155","Un4","GSE-6","Un4","contact","D","y","B733","INC","1"
"221","150","Un3","GSE-8","Un3","contact","E","y","B767","XIY","2"
"222","44","Un3","GSE-8","Un3","contact","D","y","B757","INC","2"
"223","48","Un3","GSE-8","Un3","contact","D","y","B767","LHW","1"
"224","2","Un3","GSE-8","Un3","contact","D","y","B757","BHY","2"
"225","153","Un3","GSE-8","Un3","contact","D","y","B757","XNN","1"
"226","114","Un3","GSE-8","Un3","contact","D","y","B767","URC","1"
"227","26","Un3","GSE-8","Un3","contact","D","y","B757","ZUH","3"
"231","60","Un6","GSE-8","Un6","contact","E","y","B777","PEK","1"
"232","58","Un6","GSE-8","Un6","contact","E","y","B777","PEK","4"
"233","18","Un6","GSE-8","Un6","contact","E","y","B777","CKG","2"
"234","90","Un6","GSE-8","Un6","contact","E","y","B777","CAN","1"
"235","20","Un6","GSE-8","Un6","contact","E","y","B777","CTU","2"
"236","21","Un6","GSE-8","Un6","contact","E","y","B777","CTU","3"
"237","180","Un16","GSE-8","Un16","contact","E","y","B777","KUL","1"
"238","156","Un6","GSE-8","Un6","contact","E","y","B757","YIH","1"
"239","110","Un5","GSE-8","Un5","contact","E","y","B777","TSN","1"
"240","171","Un17","GSE-8","Un17","contact","E","y","B777","HKG","1"
"241","138","Un5","GSE-8","Un5","contact","E","y","B767","WUX","9"
"242","73","Un5","GSE-8","Un5","contact","E","y","B777","PVG","2"
"243","36","Un5","GSE-8","Un5","contact","E","y","B777","HGH","1"
"244","29","Un5","GSE-8","Un5","contact","E","y","B777","FOC","1"
"245","152","Un5","GSE-8","Un5","contact","E","y","B777","XMN","1"
"246","45","Un5","GSE-8","Un5","contact","E","y","B767","KHN","1"
