"uld_id","aircraft_id","destination"
"BAV_D_5-001","1","MHS"
"BAV_D_5-002","1","MHS"
"BAV_D_5-003","1","MHS"
"BAV_D_5-004","1","MHS"
"BAV_D_5-005","1","MHS"
"BAV_D_5-006","1","MHS"
"BAV_D_5-007","1","MHS"
"BAV_D_5-008","1","MHS"
"BAV_D_5-009","1","MHS"
"BAV_D_5-010","1","MHS"
"BAV_D_5-011","1","MHS"
"BAV_D_5-012","1","MHS"
"BAV_D_5-013","1","MHS"
"BAV_D_5-014","1","MHS"
"BHY_D_8-001","2","MHS"
"BHY_D_8-002","2","MHS"
"BHY_D_8-003","2","MHS"
"BHY_D_8-004","2","MHS"
"BHY_D_8-005","2","MHS"
"BHY_D_8-006","2","MHS"
"BHY_D_8-007","2","MHS"
"BHY_D_8-008","2","MHS"
"BHY_D_8-009","2","MHS"
"BHY_D_8-010","2","MHS"
"BHY_D_8-011","2","MHS"
"BHY_D_8-012","2","MHS"
"BHY_D_8-013","2","MHS"
"BHY_D_8-014","2","MHS"
"BHY_D_8-015","2","MHS"
"BHY_D_8-016","2","MHS"
"BHY_D_8-017","2","MHS"
"BHY_D_8-018","2","MHS"
"BHY_D_8-019","2","MHS"
"BHY_D_8-020","2","MHS"
"WUX_D_381-001","5","MHS"
"WUX_D_381-002","5","MHS"
"WUX_D_381-003","5","MHS"
"WUX_D_381-004","5","MHS"
"WUX_D_381-005","5","MHS"
"WUX_D_381-006","5","MHS"
"WUX_D_381-007","5","MHS"
"WUX_D_381-008","5","MHS"
"WUX_D_381-009","5","MHS"
"WUX_D_381-010","5","MHS"
"WUX_D_381-011","5","MHS"
"WUX_D_381-012","5","MHS"
"WUX_D_381-013","5","MHS"
"WUX_D_381-014","5","MHS"
"WUX_D_381-015","5","MHS"
"WUX_D_381-016","5","MHS"
"WUX_D_381-017","5","MHS"
"WUX_D_381-018","5","MHS"
"WUX_D_381-019","5","MHS"
"WUX_D_381-020","5","MHS"
"CAN_D_12-001","7","MHS"
"CAN_D_12-002","7","MHS"
"CAN_D_12-003","7","MHS"
"CAN_D_12-004","7","MHS"
"CAN_D_12-005","7","MHS"
"CAN_D_12-006","7","MHS"
"CAN_D_12-007","7","MHS"
"CAN_D_12-008","7","MHS"
"CAN_D_12-009","7","MHS"
"CAN_D_12-010","7","MHS"
"CAN_D_12-011","7","MHS"
"CAN_D_12-012","7","MHS"
"CAN_D_12-013","7","MHS"
"CAN_D_12-014","7","MHS"
"CAN_D_12-015","7","MHS"
"CAN_D_12-016","7","MHS"
"CAN_D_12-017","7","MHS"
"CAN_D_12-018","7","MHS"
"CAN_D_12-019","7","MHS"
"CAN_D_12-020","7","MHS"
"CAN_D_12-021","7","MHS"
"CAN_D_12-022","7","MHS"
"CAN_D_12-023","7","MHS"
"CAN_D_12-024","7","MHS"
"CAN_D_12-025","7","MHS"
"CAN_D_12-026","7","MHS"
"CAN_D_12-027","7","MHS"
"CAN_D_12-028","7","MHS"
"CAN_D_12-029","7","MHS"
"CAN_D_12-030","7","MHS"
"CAN_D_12-031","7","MHS"
"CAN_D_12-032","7","MHS"
"CAN_D_12-033","7","CTU"
"CAN_D_12-034","7","PEK"
"CAN_D_12-035","7","PEK"
"CAN_D_12-036","7","WEF"
"CAN_D_12-037","7","WUX"
"CAN_D_12-038","7","XIY"
"CAN_D_17-001","8","MHS"
"CAN_D_17-002","8","MHS"
"CAN_D_17-003","8","MHS"
"CAN_D_17-004","8","MHS"
"CAN_D_17-005","8","MHS"
"CAN_D_17-006","8","MHS"
"CAN_D_17-007","8","MHS"
"CAN_D_17-008","8","MHS"
"CAN_D_17-009","8","MHS"
"CAN_D_17-010","8","MHS"
"CAN_D_17-011","8","MHS"
"CAN_D_17-012","8","MHS"
"CAN_D_17-013","8","MHS"
"CAN_D_17-014","8","MHS"
"CAN_D_17-015","8","MHS"
"CAN_D_17-016","8","MHS"
"CAN_D_17-017","8","MHS"
"CAN_D_17-018","8","MHS"
"CAN_D_17-019","8","MHS"
"CAN_D_17-020","8","MHS"
"CAN_D_17-021","8","MHS"
"CAN_D_17-022","8","MHS"
"CAN_D_17-023","8","MHS"
"CAN_D_17-024","8","MHS"
"CAN_D_17-025","8","MHS"
"CAN_D_17-026","8","MHS"
"CAN_D_17-027","8","MHS"
"CAN_D_17-028","8","MHS"
"CAN_D_17-029","8","MHS"
"CAN_D_17-030","8","MHS"
"CAN_D_17-031","8","MHS"
"CAN_D_17-032","8","MHS"
"CAN_D_17-033","8","CTU"
"CAN_D_17-034","8","PEK"
"CAN_D_17-035","8","PEK"
"CAN_D_17-036","8","WEF"
"CAN_D_17-037","8","WUX"
"CAN_D_17-038","8","XIY"
"XMN_D_403-001","9","MHS"
"XMN_D_403-002","9","MHS"
"XMN_D_403-003","9","MHS"
"XMN_D_403-004","9","MHS"
"XMN_D_403-005","9","MHS"
"XMN_D_403-006","9","MHS"
"XMN_D_403-007","9","MHS"
"XMN_D_403-008","9","MHS"
"XMN_D_403-009","9","MHS"
"XMN_D_403-010","9","MHS"
"XMN_D_403-011","9","MHS"
