"uld_id","reload_time","des_airport","reload_id","reload_area"
"Reload12_ot35_BAV_0","3087","BAV","Re12","7"
"Reload5_ot28_WUX_0","3147.928572","WUX","Re5","9"
"Reload5_ot22_WUX_0","3188.388572","WUX","Re5","9"
"Reload5_ot23_WUX_0","3266.642857","WUX","Re5","9"
"Reload5_ot27_WUX_0","3300.214286","WUX","Re5","9"
"Reload5_ot24_WUX_0","3307","WUX","Re5","9"
"Reload5_ot26_WUX_0","3317","WUX","Re5","9"
"Reload5_ot29_WUX_0","3328.785714","WUX","Re5","9"
"Reload12_ot16_HDG_0","3364.5","HDG","Re12","7"
"Reload5_ot30_WUX_0","3387.5","WUX","Re5","9"
"Reload5_ot38_WUX_0","3399.785714","WUX","Re5","9"
"Reload5_ot31_WUX_0","3403","WUX","Re5","9"
"Reload12_ot5_HDG_0","3409.7","HDG","Re12","7"
"Reload12_ot4_HDG_0","3424.785714","HDG","Re12","7"
"Reload5_ot25_WUX_0","3429.5","WUX","Re5","9"
"Reload9_ot23_YCU_0","3440.531429","YCU","Re9","10"
"Reload5_ot35_WUX_0","3459.5","WUX","Re5","9"
"Reload12_ot3_HDG_0","3476.714286","HDG","Re12","7"
"Reload5_ot36_WUX_0","3499.857143","WUX","Re5","9"
"Reload12_ot2_HDG_0","3507.214286","HDG","Re12","7"
"Reload5_ot34_WUX_0","3513.96","WUX","Re5","9"
"Reload12_ot1_HDG_0","3576.5","HDG","Re12","7"
"Reload9_ot22_YCU_0","3608.442857","YCU","Re9","10"
"Reload9_ot24_YCU_0","3628.357143","YCU","Re9","10"
"Reload13_ot3_PVG_0","3675","PVG","Re13","3"
"Reload10_ot13_WNZ_0","3698.2","WNZ","Re10","10"
"Reload5_ot33_WUX_0","3718.602857","WUX","Re5","9"
"Reload12_ot10_HDG_0","3727.928571","HDG","Re12","7"
"Reload13_ot8_PVG_0","3760.5","PVG","Re13","3"
"Reload5_ot41_WUX_0","3762.46","WUX","Re5","9"
"Reload13_ot9_PVG_0","3767.142857","PVG","Re13","3"
"Reload5_ot40_WUX_0","3767.602857","WUX","Re5","9"
"Reload5_ot37_WUX_0","3789.5","WUX","Re5","9"
"Reload10_ot12_WNZ_0","3812.96","WNZ","Re10","10"
"Reload12_ot11_HDG_0","3820.2","HDG","Re12","7"
"Reload13_ot25_PVG_0","3831.5","PVG","Re13","3"
"Reload11_ot5_WEF_0","3834.46","WEF","Re11","7"
"Reload13_ot2_PVG_0","3840.642858","PVG","Re13","3"
"Reload13_ot19_PVG_0","3846.428572","PVG","Re13","3"
"Reload5_ot32_WUX_0","3853.142857","WUX","Re5","9"
"Reload13_ot22_PVG_0","3867.857143","PVG","Re13","3"
"Reload11_ot4_WEF_0","3871.642857","WEF","Re11","7"
"Reload13_ot6_PVG_0","3885.071429","PVG","Re13","3"
"Reload13_ot31_PVG_0","3910.5","PVG","Re13","3"
"Reload13_ot27_PVG_0","3913","PVG","Re13","3"
"Reload13_ot33_PVG_0","3919.682858","PVG","Re13","3"
"Reload13_ot7_PVG_0","3926.214286","PVG","Re13","3"
"Reload13_ot24_PVG_0","3930.285715","PVG","Re13","3"
"Reload13_ot13_PVG_0","3931.142857","PVG","Re13","3"
"Reload13_ot4_PVG_0","3931.942857","PVG","Re13","3"
"Reload13_ot17_PVG_0","3932.142858","PVG","Re13","3"
"Reload13_ot18_PVG_0","3937.928571","PVG","Re13","3"
"Reload10_ot11_WNZ_0","3941.2","WNZ","Re10","10"
"Reload13_ot36_PVG_0","3944.142857","PVG","Re13","3"
"Reload13_ot30_PVG_0","3947","PVG","Re13","3"
"Reload13_ot39_PVG_0","3951","PVG","Re13","3"
"Reload13_ot34_PVG_0","3959.571429","PVG","Re13","3"
"Reload13_ot26_PVG_0","3959.685714","PVG","Re13","3"
